鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
太平區,房地(土地+建物)+車位,台中市太平區立德街９６號九樓,9.14,住,,,1020320,土地1建物2車位1,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0810526,63.7,1,1,1,有,無,1720000,27002,坡道機械,0.0,0,,RPQNMLQLMHIFFHL09CA,29.92,0.0,4.05,,
大里區,土地,新義段31地號,9.7,商,,,1020401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,468800,48330,,0.0,0,,RPUOMLRLMHIFFGL96CA,0.0,0.0,0.0,,
大里區,土地,新義段31地號,10.51,商,,,1020401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,507200,48259,,0.0,0,,RPVOMLRLMHIFFGL07CA,0.0,0.0,0.0,,
大里區,土地,新義段31地號,8.35,商,,,1020401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,403200,48287,,0.0,0,,RPWOMLRLMHIFFGL17CA,0.0,0.0,0.0,,
大里區,土地,新義段31地號,8.4,商,,,1020401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,406400,48381,,0.0,0,,RPXOMLRLMHIFFGL27CA,0.0,0.0,0.0,,
大里區,土地,新義段31地號,8.16,商,,,1020401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,393600,48235,,0.0,0,,RPOPMLRLMHIFFGL09CA,0.0,0.0,0.0,,
大里區,土地,大義段43地號,239.46,住,,,1020415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12906655,53899,,0.0,0,標售台中市政府地政局出售重劃區抵費地,RPRNMLSLMHIFFGL66CA,0.0,0.0,0.0,,
大里區,房地(土地+建物),台中市大里區仁美路４５巷４２弄８號,66.1,住,鄉村區,乙種建築用地,1020402,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960212,170.18,5,2,3,有,無,5800000,34082,,0.0,0,,RPTOMLQLMHIFFGL76CA,143.09,2.89,24.2,,
大里區,房地(土地+建物),台中市大里區益民路二段２１巷１０號,80.26,住,,,1020322,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1010327,213.62,5,2,6,有,無,17000000,79581,,0.0,0,,RPPOMLQJNHIFFGL88CA,187.29,6.05,20.28,,
大里區,房地(土地+建物),台中市大里區愛心路１３６號,67.99,住,,,1020325,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0770714,136.64,4,2,3,有,無,8500000,62207,,0.0,0,,RPUPMLQJNHIFFGL86CA,124.85,4.45,7.34,,
大里區,房地(土地+建物),台中市大里區立仁路１１５巷２３號,107.84,其他,鄉村區,乙種建築用地,1020314,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0781215,145.29,4,2,3,有,無,6500000,44738,,0.0,0,,RPXOMLRJNHIFFGL17CA,145.29,0.0,0.0,,
烏日區,建物,台中市烏日區溫泉路１６之１號,0.0,,,,1000320,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1011030,832.99,5,3,7,有,有,26700000,32053,,0.0,0,,RPROMLRJNHIFFGL56CA,763.09,9.39,60.51,,
烏日區,房地(土地+建物),台中市烏日區學田路５５３號３樓之４,17.59,住,,,1020318,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0811221,96.51,3,2,1,有,有,2070000,21449,,0.0,0,,RPUOMLTJNHIFFGL07CA,58.51,2.16,12.45,,
