編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUOMLMJJIHFFAB96CA,16,149.98,店舖，集合住宅,鋼筋混凝土造,85年8月2日,十四層,一層 二層 陽台 花台
RPUOMLMJJIHFFAB96CA,16,17.91,共同使用,鋼筋混凝土造,85年8月2日,十四層,
RPWOMLMJJIHFFAB17CA,17,10.70,開放空間，梯間，防空避難室，停車空間，機械室，水箱,鋼筋混凝土造,84年11月30日,十七層,
RPPQMLPKJIHFFCB27CA,3,246.61,住家用,鋼骨鋼筋混凝土造,98年12月3日,二十六層,七層 陽台 雨遮
RPPQMLPKJIHFFCB27CA,3,77.02,本共有部份之項目計有門廳、公共服務空間、防災中心、垃圾室、制震系統、專用入口緩衝高層建築、排煙室、特別安全梯、昇降機道、梯間、梯廳、緊急昇降機道、安全梯、公共設施、陽台、機房、社區游泳池、中繼水箱、水箱、管理委員會使用空間、機電空間、樓梯間、機械室等二十三項。,鋼骨鋼筋混凝土造,98年12月3日,二十六層,
RPPQMLPKJIHFFCB27CA,3,127.63,本共有部份之項目計有停車空間、水箱、污水機房、梯間、儲藏室、消防機房、昇降機道、緊急昇降機道、防空避難室兼停車空間、梯廳、台電配電室、受電箱、電信機房、電錶箱、排煙室、機車停車、汽車車道、機車車道、發電機房、等十九項。,鋼骨鋼筋混凝土造,98年12月3日,二十六層,
RPRQMLPKJIHFFCB47CA,3,191.34,住家用,鋼骨鋼筋混凝土造,98年10月19日,二十七層,五層 陽台 雨遮
RPRQMLPKJIHFFCB47CA,3,36.16,本共有部分之項目有緊急昇降機間、排煙室、機電空間、梯廳、陽台等五項,鋼骨鋼筋混凝土造,98年10月19日,二十七層,
RPRQMLPKJIHFFCB47CA,3,21.43,本共有部分之項目有人行道、管委會辦公室、機電空間、緊急昇降機間、排煙室、防災中心、機械室、梯廳、社區門廳、社區監控中心、安全梯間、中繼機房、社區公共設施、機電設備室、樓梯間、儲藏室、水箱、陽台,鋼筋混凝土造、鋼骨鋼筋混凝土造,98年10月19日,二十七層,
RPRQMLPKJIHFFCB47CA,3,106.76,本共有部分之項目有機電空間、電信室、電梯廳、台電配電室、電錶室、停車空間、機電設備室、緊急昇降機間、排煙室、機車停車區、緊急發電機室、蓄水池、消防機械室、停車空間兼防空避難室,鋼筋混凝土造、鋼骨鋼筋混凝土造,98年10月19日,二十七層,
RPOSMLTKJIHFFCB77CA,21,123.82,住家用,鋼筋混凝土造,80年10月3日,十六層,九層 陽台
RPOSMLTKJIHFFCB77CA,21,8.02,共有部份,鋼筋混凝土造,80年10月3日,十六層,
RPOSMLTKJIHFFCB77CA,21,14.19,避難室、停車空間,鋼筋混凝土造,80年10月3日,十六層,
RPOSMLTKJIHFFCB77CA,21,3.30,避難室、機械停車,鋼筋混凝土造,80年10月3日,十六層,
RPQSMLTKJIHFFCB97CA,16,102.46,國民住宅,鋼筋混凝土造,86年1月18日,二十一層,十三層 陽台 花台
